NO,허가일자,상호,설비용량(KW),설치장소,상태,사업개시일,데이터기준일자
130,2013-08-13,정윤에너지,98,제주특별자치도 제주시 한림읍 금악리 810번지,사업개시,2014-12-04,2024-06-30
131,2013-08-13,주영에너지,98,제주특별자치도 제주시 한림읍 금악리 810번지,사업개시,2014-12-04,2024-06-30
132,2013-08-13,골든 태양광발전소,73.5,제주특별자치도 제주시 한림읍 금악리 810번지 (811),사업개시,2014-12-04,2024-06-30
133,2013-08-13,시우2호 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 813-9,사업개시,2014-12-04,2024-06-30
134,2013-08-13,건화에너지,98,제주특별자치도 제주시 한림읍 금악리 810번지 (811),사업개시,2014-12-04,2024-06-30
135,2013-08-13,유림 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 810-4 .813-12,사업개시,2014-12-04,2024-06-30
136,2013-08-13,정현 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 810번지 (813-2),사업개시,2014-12-04,2024-06-30
137,2013-08-13,현진 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 810번지 (811. 813-2),사업개시,2014-12-04,2024-06-30
138,2013-08-13,여명2 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 811-7 .813-14,사업개시,2014-12-04,2024-06-30
139,2013-08-13,태광 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 811번지 (813-2),사업개시,2014-12-04,2024-06-30
140,2013-08-13,민규 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 813번지 2호,사업개시,2014-12-04,2024-06-30
141,2013-08-13,하나3호 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 813번지 2호,사업개시,2014-12-04,2024-06-30
142,2013-08-13,하나2호 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 813번지 2호,사업개시,2014-12-04,2024-06-30
143,2013-08-13,하나1호 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 813번지 2호 (813-5),사업개시,2014-12-04,2024-06-30
144,2013-08-13,이승2호 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 813번지 2호 (813-5),사업개시,2014-12-04,2024-06-30
145,2013-08-13,이승1호 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 813번지 5호,사업개시,2014-12-04,2024-06-30
146,2013-08-13,복주2호 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 2912-4,사업개시,2014-05-09,2024-06-30
147,2013-08-13,복주1호 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 2912번지,사업개시,2014-05-09,2024-06-30
148,2013-08-16,제주무릉 태양광발전소 2호,97.76,제주특별자치도 서귀포시 대정읍 무릉리 442번지 10호,사업개시,2014-12-12,2024-06-30
149,2013-08-16,제주무릉 태양광발전소 1호,97.76,제주특별자치도 서귀포시 대정읍 무릉리 442번지 19호,사업개시,2014-12-12,2024-06-30
150,2013-08-16,(주)제주도시가스 태양광발전소,99.2,제주특별자치도 제주시 미리내길 153 (노형동),사업개시,2013-12-13,2024-06-30
151,2013-08-21,민솔라에너지,95.68,제주특별자치도 제주시 조천읍 대흘리 110번지 4호,사업개시,2014-06-04,2024-06-30
152,2013-08-22,명월 태양광발전소,99,제주특별자치도 제주시 한림읍 명월리 924번지 1호,사업개시,2014-05-20,2024-06-30
153,2013-09-06,한솔1호 태양광발전소,99,제주특별자치도 제주시 한경면 낙천리 93번지,사업개시,2014-08-21,2024-06-30
154,2013-09-12,제라2호 태양광발전소,99.28,제주특별자치도 제주시 회천동 618-3,사업개시,2020-07-09,2024-06-30
155,2013-09-12,제라1호 태양광발전소,99.16,제주특별자치도 제주시 회천동 618번지,사업개시,2019-12-01,2024-06-30
156,2013-09-17,동일리 노인복지회관 태양광발전소,9.95,제주특별자치도 서귀포시 대정읍 동일하모로 99,사업개시,2014-01-03,2024-06-30
157,2013-09-17,동일리 다목적회관 태양광발전소,9.95,제주특별자치도 서귀포시 대정읍 동일하모로 88,사업개시,2014-01-03,2024-06-30
158,2013-10-02,꿈의 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 2886번지 6호 .2887,사업개시,2014-12-31,2024-06-30
159,2013-10-02,현승태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 2888번지 .2912-5,사업개시,2014-12-31,2024-06-30
160,2013-10-02,보원 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 2886번지 2884-4.2889-2,사업개시,2015-01-21,2024-06-30
161,2013-10-02,현준 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 2889번지 2888. 2886,사업개시,2014-05-09,2024-06-30
162,2013-10-02,서연태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 2888번지 3호 . 2912-6,사업개시,2014-12-31,2024-06-30
163,2013-10-02,제이와이 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 2888-1 .2889-1.2912-2,사업개시,2014-05-09,2024-06-30
164,2013-10-02,제이에이치 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 2888-2 .2889.2912-3,사업개시,2014-05-09,2024-06-30
165,2013-10-08,제주솔라팜,400,제주특별자치도 서귀포시 표선면 가시리 1486번지 1487,사업개시,2014-07-18,2024-06-30
166,2013-10-08,(주)지상 (지상한림 태양광발전소),999.96,제주특별자치도 제주시 한림읍 명월리 136번지 138. 273. 274-1. 274-2. 276. 277,사업개시,2014-03-14,2024-06-30
167,2013-10-08,지상탐라 태양광발전소,999.96,제주특별자치도 제주시 한림읍 명월리 136번지 138.139.140.273.274-1.274-2,사업개시,2014-03-20,2024-06-30
168,2013-10-08,종현 태양광발전소,98,제주특별자치도 제주시 한림읍 금악리 2908번지,사업개시,2017-01-25,2024-06-30
169,2013-10-29,푸른 태양광발전소,350,제주특별자치도 서귀포시 대정읍 신도리 1988번지 2호 1983-1,사업개시,2014-04-23,2024-06-30
170,2013-10-29,예빛 태양광발전소,250,제주특별자치도 서귀포시 대정읍 신도리 2823번지 1호,사업개시,2014-03-27,2024-06-30
171,2013-11-05,썬태양광발전소,99,제주특별자치도 서귀포시 대정읍 동일리 298번지 1호 589-1,사업개시,2014-07-02,2024-06-30
172,2013-11-05,VE에너지,99,제주특별자치도 서귀포시 대정읍 동일리 589번지 298-4,사업개시,2014-07-02,2024-06-30
173,2013-11-18,협신그린 태양광발전소,350,제주특별자치도 서귀포시 대정읍 신도리 1112번지,사업개시,2014-05-16,2024-06-30
174,2013-11-18,덕천 태양광발전소,99,제주특별자치도 제주시 한경면 고산리 1894번지 2호,사업개시,2014-08-27,2024-06-30
175,2013-11-29,덕천(DE-002)발전소,75,제주특별자치도 제주시 구좌읍 덕행로 574,사업개시,2015-08-11,2024-06-30
176,2013-12-04,한국중부발전(주)(제주화력태양광발전소),1206.4,제주특별자치도 제주시 원당로 133 (삼양일동),사업개시,2014-01-02,2024-06-30
177,2013-12-10,동회천마을회(동회천 태양광발전소),413,제주특별자치도 제주시 회천동 2453번지 1호 2453-1. 2448,사업개시,2015-03-12,2024-06-30
178,2013-12-12,앤씨개발,397,제주특별자치도 서귀포시 표선면 가시리 3063번지,사업개시,2014-05-28,2024-06-30
179,2013-12-12,(주)대원솔라제주,1396.8,제주특별자치도 서귀포시 대정읍 무릉리 3419번지 1호 3419-2. 3419-3. 3455. 3454-2,사업개시,2014-10-08,2024-06-30
180,2013-12-12,케이디이 태양광발전소,24,제주특별자치도 서귀포시 호근북로 97-1 (호근동),사업개시,2014-09-03,2024-06-30
181,2013-12-13,인다 태양광발전소,99,제주특별자치도 서귀포시 대정읍 무릉리 3622번지 3호,사업개시,2014-09-30,2024-06-30
182,2013-12-19,유나기업 태양광발전소,10,제주특별자치도 제주시 노형동 3241번지 9호,사업개시,2014-10-30,2024-06-30
183,2013-12-19,(주)경선태양광((주)경선태양광(무릉지점)발전소),372,제주특별자치도 서귀포시 대정읍 무릉리 2117번지,사업개시,2014-06-06,2024-06-30
184,2013-12-19,피엠제이태양광발전소,300,제주특별자치도 서귀포시 대정읍 신도리 2351번지 2352,사업개시,2014-05-29,2024-06-30
185,2013-12-19,벨리 태양광발전소,320,제주특별자치도 서귀포시 대정읍 무릉리 475번지 1호,사업개시,2014-07-22,2024-06-30
186,2013-12-19,금동2 태양광발전소,99,제주특별자치도 제주시 한림읍 금악리 3339번지 3호,사업개시,2014-06-20,2024-06-30
187,2013-12-19,금동1 태양광발전소,99,제주특별자치도 제주시 한림읍 금악리 3339번지 1호,사업개시,2014-06-20,2024-06-30
188,2013-12-19,꿈꾸는(dream)2 발전소,99,제주특별자치도 제주시 한림읍 금악리 3339번지,사업개시,2014-06-20,2024-06-30
189,2013-12-19,꿈꾸는(dream)1발전소,99,제주특별자치도 제주시 한림읍 금악리 3339번지,사업개시,2014-06-20,2024-06-30
190,2013-12-19,(주)제주햇빛발전소,1696,제주특별자치도 서귀포시 표선면 녹산로5번길 74-46 (2739-1),사업개시,2014-05-28,2024-06-30
191,2013-12-19,영주1호 태양광발전소,99,제주특별자치도 제주시 외도일동 1217-1 .1214-5.1214-6,사업개시,2014-05-20,2024-06-30
